num_threads,run_1,run_2,run_3
1,11.113881,11.124973,11.116020
2,5.601597,5.596667,5.600529
3,3.714476,3.711016,3.713590
4,2.818833,2.817068,2.819644
5,2.290755,2.290128,2.287909
6,1.937509,1.937015,1.937440
7,1.668755,1.669000,1.669133
8,1.481668,1.479677,1.480159
9,1.528954,1.531348,1.529928
10,1.216324,1.213767,1.223209
11,1.126463,1.124252,1.124079
12,1.046156,1.044924,1.042752
13,0.971747,0.971637,0.973114
14,0.922033,0.922023,0.922891
15,0.864407,0.863450,0.864573
16,0.823709,0.823353,0.822468
17,0.804939,0.804719,0.805779
18,0.849379,0.846017,0.846365
19,0.809235,0.808060,0.807844
20,0.767288,0.767941,0.767778
21,0.732581,0.732565,0.732068
22,0.716265,0.715496,0.716061
23,0.619808,0.619849,0.618381
24,0.605712,0.604679,0.604060
25,0.587705,0.588397,0.588700
26,0.577016,0.575615,0.576756
27,0.565185,0.565805,0.564783
28,0.550538,0.550125,0.548674
29,0.554149,0.554221,0.553848
30,0.535904,0.536526,0.536676
31,0.556414,0.557389,0.555456
32,0.571284,0.568743,0.576514
33,0.581760,0.578587,0.581994
34,0.578020,0.584965,0.573112
35,0.582690,0.576696,0.576260
36,0.578585,0.578519,0.574758
37,0.577959,0.581168,0.579123
38,0.580519,0.577973,0.575719
39,0.568063,0.560012,0.566020
40,0.556341,0.565762,0.560163
41,0.549577,0.553454,0.545986
42,0.542917,0.540819,0.541377
43,0.536744,0.535208,0.532521
44,0.517822,0.518822,0.531485
45,0.512155,0.516641,0.520880
46,0.516851,0.505645,0.511483
47,0.495340,0.507560,0.492426
48,0.483826,0.489300,0.488530
49,0.477551,0.477877,0.490614
50,0.511391,0.511610,0.495264
51,0.459579,0.454402,0.472479
52,0.504243,0.477846,0.466543
53,0.432639,0.444466,0.439556
54,0.433661,0.429661,0.432594
55,0.414556,0.421927,0.421584
56,0.429512,0.469781,0.451645
57,0.436190,0.432843,0.439997
58,0.417434,0.405395,0.401822
59,0.399321,0.377594,0.391124
60,0.380785,0.389614,0.368456
61,0.377920,0.360730,0.373278
62,0.367610,0.378324,0.378433
63,0.376920,0.376677,0.376972
64,0.376262,0.376725,0.379659
65,0.358873,0.362756,0.366690
66,0.370904,0.373962,0.360678
67,0.366282,0.345436,0.361413
68,0.363036,0.367228,0.365322
69,0.371380,0.370110,0.395921
70,0.382249,0.374197,0.379102
